"power","start_time","stop_time"
"1","1569991748068","1569991748071"
"2","1569991748071","1569991748072"
"3","1569991748072","1569991748073"
"4","1569991748074","1569991748075"
"5","1569991748076","1569991748081"
"6","1569991748082","1569991748089"
"7","1569991748091","1569991748106"
"8","1569991748109","1569991748144"
"9","1569991748150","1569991748200"
"10","1569991748210","1569991748328"
"11","1569991748352","1569991748559"
"12","1569991748600","1569991749032"
"13","1569991749130","1569991750058"
"14","1569991750225","1569991752225"
"15","1569991752589","1569991756660"
"16","1569991757396","1569991765984"
"17","1569991767413","1569991789677"
"18","1569991792533","1569991839464"
